position_0,position_1,position_2
-0.00359504,-0.00736354,0.000498369
-0.00259829,-0.00730986,0.000497344
-0.00132345,-0.00784342,0.000499797
-0.00018232,-0.00787478,0.000498626
-0.00053867,-0.00706865,0.000967721
0.00129567,-0.00729256,0.00049901
0.00236738,-0.00785345,0.000499111
0.00334727,-0.00759631,0.000499771
0.00521703,-0.00735447,0.000498749
0.006526,-0.00766684,0.000496932
0.00826998,-0.00744729,0.000499047
0.0097705,-0.0075202,0.000497499
0.0111403,-0.00734215,0.000498498
-0.0116015,-0.00660569,0.000497847
-0.0105985,-0.00682904,0.000499771
-0.0100028,-0.00600409,0.00049792
-0.00960236,-0.00692842,0.000496871
-0.00878876,-0.00633168,0.000499771
-0.007788,-0.00635142,0.000497955
-0.00646906,-0.00656605,0.000498868
-0.00560542,-0.00601507,0.000497059
-0.00405134,-0.00639926,0.00049936
-0.00310734,-0.00650824,0.000805454
-0.00225519,-0.00609342,0.000496755
-0.00168407,-0.00691252,0.000541554
-0.000921545,-0.00627072,0.000496981
0.000340441,-0.00699946,0.000498671
0.000951184,-0.00620729,0.000499771
0.00244111,-0.00685714,0.000499297
0.00380998,-0.00655899,0.000497935
0.00477421,-0.00650736,0.000792074
0.00631278,-0.00669145,0.000498138
0.00726449,-0.0069965,0.000497759
0.00771631,-0.00607684,0.000498386
0.00896928,-0.00670184,0.000497355
0.0103612,-0.0067161,0.000498339
0.0116988,-0.00642155,0.000499771
-0.0121737,-0.00548408,0.000497514
-0.0109849,-0.00581928,0.00049971
-0.00868213,-0.00528424,0.000496669
-0.00701924,-0.00571313,0.000498626
-0.0078519,-0.00549485,0.0010067
-0.00467735,-0.00562045,0.000498134
-0.00335405,-0.00559145,0.000497496
-0.000969753,-0.00511598,0.000499136
-8.97606e-05,-0.00559241,0.000498449
0.000770224,-0.00526008,0.000884434
0.00193709,-0.00599431,0.00049909
0.0029213,-0.00574568,0.000495975
0.00392798,-0.00555659,0.000499502
0.00549881,-0.00588706,0.000497695
0.00675646,-0.00579733,0.000497665
0.00859034,-0.00551566,0.00049813
0.0095776,-0.00588439,0.000499
0.0106589,-0.0057637,0.000497163
0.0116709,-0.00540892,0.000499771
-0.0125489,-0.00455806,0.000498871
-0.0113662,-0.00489537,0.000499459
-0.01031,-0.00484004,0.00049676
-0.010893,-0.00401495,0.000499421
-0.00939889,-0.00442997,0.000499283
-0.00839913,-0.00432697,0.000497943
-0.00729005,-0.0046318,0.000498846
-0.00564726,-0.00494902,0.000499132
-0.00394843,-0.00478912,0.000497851
-0.00316907,-0.00416469,0.000497092
-0.00257455,-0.00496756,0.00049957
-0.00173652,-0.00442416,0.000499798
-0.000780701,-0.00413439,0.000497673
0.000102239,-0.00460362,0.000499573
0.00158052,-0.00482072,0.0004987
0.0026105,-0.00439008,0.000499763
0.003604,-0.0044994,0.000496648
0.00457815,-0.00473295,0.000499369
0.00557741,-0.00469574,0.000499744
0.00657506,-0.00448112,0.000498063
0.00751768,-0.00480842,0.000497832
0.00831713,-0.00437161,0.000905524
0.00923858,-0.00445069,0.000498906
0.0101721,-0.00481545,0.000499275
0.0110127,-0.00422034,0.000496082
0.0124679,-0.0047537,0.000499771
-0.0128875,-0.00348578,0.000497811
-0.0118223,-0.00398037,0.000865844
-0.0116636,-0.00306571,0.000497287
-0.0107956,-0.00314488,0.00098125
-0.0100065,-0.00355044,0.000499771
-0.00898753,-0.0035193,0.000499963
-0.00781989,-0.00351257,0.000497969
-0.00687716,-0.0037122,0.000762359
-0.00595765,-0.00399987,0.000496363
-0.00506374,-0.00300429,0.000499771
-0.00495676,-0.00399879,0.000498527
-0.00403869,-0.00359661,0.000497516
-0.00323073,-0.00300757,0.000499625
-0.00238623,-0.00354277,0.000497335
-0.00147818,-0.00355211,0.000915069
-7.61428e-05,-0.00356055,0.000910058
0.000777972,-0.00386699,0.00049622
0.00177524,-0.00384111,0.000497649
0.00294252,-0.00334634,0.000497223
0.0039197,-0.00355182,0.000498439
0.00491434,-0.00363094,0.000497462
0.00590729,-0.00373855,0.00049899
0.00742767,-0.00376344,0.000499686
0.00844819,-0.00346355,0.000499771
0.00949491,-0.00301508,0.000499542
0.0100988,-0.00381025,0.000497936
0.010958,-0.00320562,0.000499771
0.0118618,-0.00367599,0.000496167
0.0128222,-0.00372492,0.000759728
-0.0130614,-0.00247868,0.000499198
-0.0114539,-0.00208931,0.00049907
-0.0104738,-0.00233174,0.000499277
-0.00952906,-0.00267067,0.000499771
-0.00852916,-0.00263173,0.000498188
-0.00705454,-0.00272508,0.000499771
-0.00775287,-0.00200291,0.000499036
-0.00605912,-0.00288385,0.000498659
-0.00414338,-0.00258971,0.000499771
-0.00496561,-0.00200854,0.000499771
-0.0021114,-0.00250023,0.000499051
-0.000790152,-0.00295787,0.000499648
4.19793e-05,-0.0024039,0.000497038
0.0010042,-0.00267472,0.000499632
0.00198592,-0.00286369,0.00049973
0.00281973,-0.00240475,0.000805656
0.00395223,-0.00254904,0.000499771
0.00516405,-0.00263247,0.000499167
0.00595629,-0.00202246,0.000499676
0.00680653,-0.00291784,0.000496119
0.00815389,-0.00222695,0.000496806
0.00922719,-0.00205248,0.000498816
0.0107463,-0.00210025,0.000499771
0.012039,-0.00254064,0.000499771
0.0130511,-0.00278747,0.000499577
-0.013293,-0.00120276,0.000499367
-0.0124294,-0.00170429,0.000497855
-0.0116488,-0.00115315,0.000788061
-0.0107162,-0.00136271,0.000498373
-0.00937868,-0.00168205,0.000498215
-0.00770249,-0.00100182,0.000499771
-0.00667991,-0.00106225,0.000497877
-0.00604673,-0.00187894,0.000499771
-0.00506852,-0.00114562,0.0009961
-0.00391652,-0.00157361,0.000497334
-0.00298458,-0.00178099,0.000791505
-0.00214105,-0.00129723,0.000499771
-0.00125754,-0.0019802,0.000498459
-0.00117457,-0.00104975,0.00085224
-0.000349525,-0.00148604,0.000498492
0.00103837,-0.00163382,0.000499286
0.00210979,-0.00177334,0.000498134
0.0032632,-0.00156389,0.000497933
0.00486546,-0.00162579,0.00049813
0.0069191,-0.00175244,0.000499763
0.00870944,-0.00119837,0.00049653
0.0108709,-0.0010276,0.000495517
0.0117015,-0.00158354,0.0004994
0.0125565,-0.00106583,0.000498103
0.0132287,-0.0018041,0.00049883
-0.0133498,-0.000207369,0.000558192
-0.0124416,-0.000619873,0.00049892
-0.0115116,-0.000118959,0.000496928
-0.0104804,-0.000402107,0.000633134
-0.00953593,-0.000695181,0.000498802
-0.0085943,-0.000363421,0.000497016
-0.00684282,-7.74371e-05,0.000497926
-0.00577257,-0.000645366,0.00049727
-0.0041859,-0.000693202,0.000883625
-0.00326579,-0.000749502,0.000497067
-0.00178606,-0.000344172,0.000498325
-0.000393805,-0.000487061,0.00049918
0.000569894,-0.000751133,0.000499378
0.00153762,-0.000498896,0.000499771
0.00249996,-0.000780592,0.000498674
0.00339847,-0.000341717,0.00049977
0.00440683,-0.000443841,0.00049745
0.00531546,-0.000771942,0.000754844
0.00627197,-0.000954377,0.000498315
0.00773102,-0.000998429,0.000499444
0.00703415,-0.000251922,0.000498912
0.00801708,-4.0564e-05,0.000499682
0.00911516,-7.70414e-05,0.000498645
0.00990309,-0.000722066,0.000498351
0.0117241,-0.000562302,0.000721152
0.0133434,-0.000447875,0.000498777
-0.00292446,-0.0130096,0.00190727
-0.00199089,-0.0132031,0.00161104
-0.000905432,-0.0133202,0.00131178
-0.000178765,-0.0133488,0.00199767
0.000598064,-0.0133398,0.00136855
0.00159343,-0.0132559,0.00137215
0.00288184,-0.0130374,0.00147911
-0.00435031,-0.0126221,0.00169385
-0.00336443,-0.0120807,0.00148449
-0.00238582,-0.0122721,0.00142859
-0.00142135,-0.012467,0.00125221
-0.000135306,-0.0126763,0.00124753
0.00146928,-0.0122712,0.00147857
0.00238105,-0.0122752,0.00188218
0.00354939,-0.0120896,0.00171178
0.00445756,-0.0123532,0.00138753
0.00544302,-0.0121871,0.00137158
-0.00682978,-0.0114713,0.00139631
-0.00571097,-0.0119637,0.00127041
-0.00542661,-0.0112563,0.00192618
-0.00477504,-0.0110343,0.00117992
-0.00451855,-0.0116716,0.00195102
-0.00379724,-0.0111982,0.00130943
-0.00270547,-0.0113264,0.00135163
-0.00172672,-0.0115247,0.00137319
-0.000846127,-0.0110362,0.00130148
-0.00067714,-0.0119508,0.0016685
0.000199523,-0.0117364,0.0012465
0.000997035,-0.0114424,0.00176594
0.00197378,-0.0113671,0.00195785
0.00279541,-0.0115424,0.00134902
0.00380368,-0.0111066,0.00198207
0.00468146,-0.0114023,0.00159757
0.00563399,-0.0112043,0.0013692
0.00650616,-0.0116589,0.00119564
0.00702447,-0.0113541,0.00199151
-0.00843799,-0.0103459,0.00134298
-0.00705242,-0.0104738,0.0012785
-0.00775056,-0.0108734,0.00186913
-0.00609253,-0.0107005,0.0014314
-0.005265,-0.010251,0.00176448
-0.00455727,-0.0100629,0.00108811
-0.00408041,-0.0104317,0.00188311
-0.00321281,-0.0103879,0.00127066
-0.00208411,-0.0107255,0.00185393
-0.00132638,-0.0101255,0.00160145
-0.000329892,-0.0101794,0.00158424
0.000434927,-0.0107565,0.00130664
0.00148163,-0.0106348,0.00143342
0.00239527,-0.0101412,0.00126882
0.00324993,-0.0106572,0.00128404
0.00429687,-0.0105141,0.00134873
0.0051762,-0.0104385,0.00181791
0.00662449,-0.0106693,0.00126732
0.00763953,-0.0109481,0.00128123
0.00834257,-0.0104255,0.00189961
-0.00958906,-0.00929246,0.00111329
-0.00845508,-0.00936067,0.00186287
-0.00721712,-0.00943007,0.0013647
-0.00658745,-0.00993337,0.00197827
-0.00622951,-0.00933979,0.00125934
-0.00522955,-0.00931661,0.00126031
-0.00452618,-0.00953789,0.0019342
-0.00305169,-0.00936515,0.00139445
-0.00223848,-0.00992769,0.00124629
-0.001798,-0.00928853,0.00187364
-0.000920963,-0.00919163,0.00140587
0.000649536,-0.00979267,0.00146544
0.00175263,-0.00976482,0.00195961
0.00272673,-0.00917599,0.00130353
0.00364194,-0.00974689,0.00117179
0.00309364,-0.00978371,0.00200647
0.0049431,-0.00974979,0.00113384
0.00430261,-0.00905999,0.00146754
0.00551406,-0.00931289,0.00182805
0.00688532,-0.00967885,0.00130867
0.00784334,-0.00993056,0.00119287
0.00886303,-0.00998394,0.001171
-0.0102042,-0.00860933,0.00149931
-0.00900535,-0.00850917,0.00135679
-0.00789845,-0.00864482,0.00144144
-0.00695255,-0.00838884,0.00122256
-0.00589821,-0.00840378,0.00136993
-0.00465248,-0.00852652,0.00146635
-0.00363192,-0.00856361,0.00161268
-0.00256585,-0.00856043,0.00173431
-0.0017053,-0.00853445,0.00122666
-0.000326352,-0.00839227,0.0013407
0.000512837,-0.00882267,0.00167215
0.000642591,-0.00806835,0.00102893
0.0018394,-0.00866803,0.001337
0.00346716,-0.00848753,0.00136702
0.00433739,-0.00807441,0.00162497
0.00514199,-0.00855347,0.00128274
0.00611532,-0.00876775,0.00124476
0.0069669,-0.00879301,0.00176468
0.00772871,-0.00802063,0.0013328
0.00805377,-0.00896595,0.00133856
0.00855861,-0.00826069,0.00183297
0.00904807,-0.00892002,0.0012473
